Название,Жанр,Режиссер,Страны,Год,IMDb
Мачеха Саманишвили (фильм),Трагикомедия,Эльдар Шенгелая,СССР,1977,8.1
Мачо и ботан 2,"боевик, комедия, криминал","Фил Лорд, Кристофер Миллер",США,2014,7.0
Мачете (фильм),"кинокомедия, боевик, триллер, приключения, криминал","Роберт Родригес, Этан Маникис",США,2010,6.6
Мачете убивает,"боевик, фантастика, чёрная комедия",Роберт Родригес,США,2013,5.6
Мацист в аду,"немое кино, кинофантастика",Гуидо Бриньоне,Италия,1925,6.8
"Мачеха (фильм, 1958)",драма,Абиб Исмайлов,СССР,1958,8.2
Махорка-Муфф,короткометражный,"Жан-Мари Штрауб, Даниэль Юйе",Германия,1963,6.5
Мафия!,комедия,Джим Абрахамс,США,1998,5.5
"Мачеха (фильм, 1973)",мелодрама,Олег Бондарёв,СССР,1973,7.4
Мафия бессмертна,"криминальная драма, боевик",Леонид Партигул,Россия,1993,4.8
Мафия: Игра на выживание,"фантастика, боевик",Сарик Андреасян,Россия,2016,4.3
Маугли (фильм),"приключенческая, драма",Энди Сёркис,"Великобритания, США",2018,6.5
"Мать Тереза Калькуттская (фильм, 2003)",биография,Фабрицио Коста,Италия,2003,7.1
Мать/Андроид,"научно-фантастический фильм, фильм-триллер",Маттсон Томлин,США,2021,4.9
"Мафия (фильм, 1951)","Фильм нуар, Триллер",Роберт Пэрриш,США,1951,7.1
Мафия убивает только летом,драма / комедия,Пьерфранческо Дилиберто,Италия,2013,7.1
Мать Урагана (фильм),"драма, история",Юрий Марухин,СССР,1990,5.0
Мафиозо (фильм),"комедия, криминальный",Альберто Латтуада,Италия,1962,7.6
Мать слёз,фильм ужасов,Дарио Ардженто,"США, Италия",2007,5.0
Мать Иоанна от ангелов (фильм),драма,Ежи Кавалерович,Польша,1961,7.5
Мать и сын,драма,Александр Сокуров,"Германия, Россия",1997,7.3
Мать Индия,"драма, музыкальный, семейный",Мехбуб Хан,Индия,1957,7.8
Мать и одиннадцать детей,драма,Хэйноскэ Госё,Япония,1966,6.6
Мать и дитя (фильм),драматический фильм,Родриго Гарсиа,США,"2009, 28 апреля, 2011",7.2
Мать своих детей,триллер,Ив Симоно,США,1994,5.4
Мать и мачеха (фильм),драма,Леонид Пчёлкин,СССР,1964,6.7
Мать его жены,комедия,Дэвид Уорк Гриффит,США,1909,4.5
Мать Дэвида (фильм),драма,Роберт Аллан Аккерман,США,1994,6.2
"Мать (фильм, 1955)","драма, экранизация",Марк Донской,СССР,1955,6.8
"Мать (фильм, 1996)","драма, кинокомедия",Альберт Брукс,США,1996,6.9
"Мать (фильм, 2009)","драма, триллер",Пон Чжун Хо,Республика Корея,2009,7.7
"Мать (фильм, 1989)",драма,Глеб Панфилов,"СССР, Италия",1989,7.5
"Мать (фильм, 1952)",фильм-драма,Микио Нарусэ,Япония,1952,7.6
